date,category,helpful_votes
2023-04-13,usability testing,4
2023-04-13,collaborative whiteboard,12
2023-04-14,research repository,32
2023-04-15,field research,6
2023-04-15,user research,8
2023-04-16,research repository,1
2023-04-17,usability testing,31
2023-04-19,usability testing,40
2023-04-20,usability testing,21
2023-04-21,research repository,24
2023-04-21,field research,31
2023-04-24,research repository,18
2023-04-24,field research,31
2023-04-27,user research,1
2023-04-28,field research,1
2023-04-29,usability testing,29
2023-05-01,usability testing,47
2023-05-01,field research,15
2023-05-01,usability testing,1
2023-05-01,usability testing,30
2023-05-05,user research,29
2023-05-11,user research,46
2023-05-14,user research,23
2023-05-14,collaborative whiteboard,15
2023-05-15,field research,18
2023-05-16,collaborative whiteboard,15
2023-05-16,collaborative whiteboard,41
2023-05-16,research repository,37
2023-05-18,user research,16
2023-05-19,field research,33
2023-05-20,research repository,4
2023-05-20,collaborative whiteboard,19
2023-05-21,field research,2
2023-05-21,field research,26
2023-05-22,collaborative whiteboard,16
2023-05-26,usability testing,7
2023-05-30,user research,18
2023-06-02,research repository,38
2023-06-03,field research,21
2023-06-04,collaborative whiteboard,8
2023-06-08,field research,15
2023-06-08,research repository,17
2023-06-11,collaborative whiteboard,26
2023-06-13,collaborative whiteboard,20
2023-06-13,collaborative whiteboard,6
2023-06-16,field research,23
2023-06-16,user research,11
2023-06-17,user research,19
2023-06-18,research repository,25
2023-06-19,user research,39
2023-06-20,collaborative whiteboard,23
2023-06-20,collaborative whiteboard,7
2023-06-21,field research,40
2023-06-21,user research,13
2023-06-22,research repository,29
2023-06-22,collaborative whiteboard,36
2023-06-23,field research,43
2023-06-24,user research,33
2023-06-25,usability testing,34
2023-06-25,collaborative whiteboard,39
2023-06-25,collaborative whiteboard,5
2023-06-28,user research,7
2023-06-28,research repository,45
2023-06-28,usability testing,2
2023-06-29,user research,26
2023-06-29,usability testing,40
2023-07-04,field research,34
2023-07-07,collaborative whiteboard,43
2023-07-09,research repository,12
2023-07-10,research repository,47
2023-07-10,collaborative whiteboard,40
2023-07-11,usability testing,42
2023-07-12,usability testing,31
2023-07-14,user research,6
2023-07-15,collaborative whiteboard,3
2023-07-16,user research,15
2023-07-17,research repository,25
2023-07-17,user research,7
2023-07-19,user research,32
2023-07-21,user research,29
2023-07-22,usability testing,27
2023-07-23,field research,38
2023-07-28,field research,43
2023-07-30,user research,4
2023-08-03,research repository,10
2023-08-04,field research,43
2023-08-06,field research,9
2023-08-07,user research,25
2023-08-08,field research,34
2023-08-08,usability testing,4
2023-08-08,collaborative whiteboard,39
2023-08-08,field research,12
2023-08-11,user research,28
2023-08-11,user research,30
2023-08-13,research repository,11
2023-08-13,field research,8
2023-08-16,collaborative whiteboard,32
2023-08-19,user research,12
2023-08-19,usability testing,22
2023-08-19,research repository,19
2023-08-20,field research,43
2023-08-20,research repository,27
2023-08-23,research repository,2
2023-08-27,user research,21
2023-08-30,user research,6
2023-09-01,collaborative whiteboard,6
2023-09-02,user research,16
2023-09-02,collaborative whiteboard,36
2023-09-03,usability testing,15
2023-09-04,usability testing,13
2023-09-04,usability testing,3
2023-09-05,user research,46
2023-09-06,user research,2
2023-09-06,user research,29
2023-09-07,research repository,29
2023-09-08,field research,43
2023-09-11,user research,40
2023-09-20,collaborative whiteboard,23
2023-09-22,collaborative whiteboard,21
2023-09-22,research repository,20
2023-09-25,user research,11
2023-09-26,collaborative whiteboard,13
2023-09-28,collaborative whiteboard,34
2023-09-29,collaborative whiteboard,41
2023-09-29,field research,13
2023-09-29,usability testing,5
2023-10-02,research repository,46
2023-10-04,field research,6
2023-10-06,usability testing,32
2023-10-08,collaborative whiteboard,18
2023-10-09,user research,8
2023-10-09,collaborative whiteboard,17
2023-10-10,field research,33
2023-10-11,field research,16
2023-10-12,collaborative whiteboard,44
2023-10-16,research repository,24
2023-10-17,user research,19
2023-10-18,collaborative whiteboard,32
2023-10-18,collaborative whiteboard,43
2023-10-19,collaborative whiteboard,1
2023-10-20,user research,15
2023-10-23,usability testing,42
2023-10-23,usability testing,45
2023-10-26,field research,27
2023-10-26,research repository,47
2023-10-29,collaborative whiteboard,1
2023-10-30,collaborative whiteboard,44
2023-10-30,usability testing,47
2023-10-30,usability testing,10
2023-11-02,collaborative whiteboard,37
2023-11-03,usability testing,10
2023-11-08,collaborative whiteboard,31
2023-11-10,collaborative whiteboard,16
2023-11-11,user research,15
2023-11-11,field research,26
2023-11-13,collaborative whiteboard,30
2023-11-14,research repository,35
2023-11-15,collaborative whiteboard,35
2023-11-18,field research,26
2023-11-18,research repository,11
2023-11-18,user research,26
2023-11-23,user research,44
2023-11-26,field research,38
2023-12-05,collaborative whiteboard,41
2023-12-06,collaborative whiteboard,6
2023-12-06,user research,43
2023-12-06,collaborative whiteboard,13
2023-12-07,research repository,26
2023-12-07,collaborative whiteboard,35
2023-12-11,usability testing,19
2023-12-13,field research,41
2023-12-15,usability testing,38
2023-12-15,user research,45
2023-12-16,usability testing,31
2023-12-18,research repository,45
2023-12-19,research repository,38
2023-12-25,collaborative whiteboard,19
2023-12-25,collaborative whiteboard,14
2023-12-26,field research,27
2023-12-26,collaborative whiteboard,34
2024-01-03,collaborative whiteboard,37
2024-01-05,collaborative whiteboard,16
2024-01-09,collaborative whiteboard,7
2024-01-10,field research,33
2024-01-12,collaborative whiteboard,33
2024-01-13,research repository,29
2024-01-14,collaborative whiteboard,11
2024-01-16,user research,28
2024-01-17,usability testing,1
2024-01-18,user research,21
2024-01-22,collaborative whiteboard,24
2024-01-23,field research,5
2024-01-23,user research,19
2024-01-24,research repository,43
2024-01-24,research repository,36
2024-01-29,user research,31
2024-01-29,usability testing,29
2024-01-31,usability testing,5
2024-02-03,user research,21
2024-02-03,research repository,20
2024-02-05,user research,29
2024-02-10,collaborative whiteboard,21
2024-02-10,usability testing,40
2024-02-11,collaborative whiteboard,15
2024-02-11,field research,40
2024-02-12,field research,41
2024-02-13,user research,42
2024-02-14,field research,43
2024-02-14,usability testing,47
2024-02-14,usability testing,29
2024-02-15,usability testing,33
2024-02-16,usability testing,2
2024-02-17,field research,44
2024-02-17,user research,23
2024-02-18,research repository,27
2024-02-19,usability testing,28
2024-02-24,collaborative whiteboard,41
2024-02-25,user research,26
2024-02-26,user research,0
2024-02-26,research repository,35
2024-03-01,research repository,46
2024-03-01,field research,27
2024-03-02,research repository,35
2024-03-02,collaborative whiteboard,46
2024-03-04,user research,34
2024-03-05,collaborative whiteboard,31
2024-03-05,field research,7
2024-03-07,collaborative whiteboard,16
2024-03-08,user research,21
2024-03-08,collaborative whiteboard,44
2024-03-09,research repository,24
2024-03-10,user research,31
2024-03-12,field research,10
2024-03-15,collaborative whiteboard,24
2024-03-20,research repository,6
2024-03-21,field research,11
2024-03-21,usability testing,17
2024-03-22,user research,0
2024-03-28,collaborative whiteboard,43
2024-03-28,user research,17
2024-03-28,user research,40
2024-03-29,research repository,13
2024-03-30,user research,39
2024-03-30,field research,24
2024-04-02,field research,17
2024-04-04,field research,8
2024-04-06,collaborative whiteboard,28
2024-04-09,user research,0
2024-04-09,collaborative whiteboard,4
2024-04-09,field research,21
2024-04-10,research repository,18
2024-04-10,usability testing,5
2024-04-12,research repository,19
2024-04-12,collaborative whiteboard,36
2024-04-12,field research,0
2024-04-15,usability testing,36
2024-04-16,collaborative whiteboard,10
2024-04-17,collaborative whiteboard,11
2024-04-21,collaborative whiteboard,18
2024-04-26,user research,22
2024-04-28,usability testing,15
2024-04-29,field research,35
2024-04-30,collaborative whiteboard,4
2024-05-01,collaborative whiteboard,36
2024-05-02,research repository,28
2024-05-03,field research,20
2024-05-04,user research,7
2024-05-09,user research,6
2024-05-09,user research,31
2024-05-10,collaborative whiteboard,29
2024-05-11,usability testing,21
2024-05-11,collaborative whiteboard,22
2024-05-11,collaborative whiteboard,33
2024-05-15,user research,5
2024-05-17,user research,28
2024-05-17,field research,6
2024-05-17,user research,14
2024-05-19,research repository,9
2024-05-20,user research,5
2024-05-21,usability testing,17
2024-05-21,user research,24
2024-05-23,collaborative whiteboard,18
2024-05-24,field research,37
2024-05-24,research repository,47
2024-05-24,usability testing,29
2024-05-25,usability testing,32
2024-05-27,usability testing,2
2024-05-29,usability testing,45
2024-05-31,collaborative whiteboard,27
2024-06-01,field research,41
2024-06-01,usability testing,8
2024-06-03,user research,35
2024-06-04,usability testing,23
2024-06-04,usability testing,14
2024-06-07,research repository,24
2024-06-10,user research,0
2024-06-11,research repository,20
2024-06-12,collaborative whiteboard,7
2024-06-13,collaborative whiteboard,36
2024-06-16,research repository,26
2024-06-17,field research,30
2024-06-23,research repository,16
2024-06-23,research repository,30
2024-06-27,usability testing,10
2024-06-27,user research,18
2024-06-29,user research,8
2024-06-29,research repository,17
2024-06-30,usability testing,8
2024-07-01,usability testing,39
2024-07-03,usability testing,9
2024-07-04,research repository,44
2024-07-05,user research,47
2024-07-06,user research,33
2024-07-08,usability testing,2
2024-07-09,collaborative whiteboard,2
2024-07-11,field research,27
2024-07-13,usability testing,31
2024-07-13,research repository,43
2024-07-13,collaborative whiteboard,15
2024-07-16,collaborative whiteboard,30
2024-07-17,usability testing,6
2024-07-17,research repository,1
2024-07-18,research repository,45
2024-07-19,field research,9
2024-07-19,field research,10
2024-07-23,field research,3
2024-07-25,usability testing,11
2024-07-28,field research,12
2024-07-28,collaborative whiteboard,34
2024-07-30,collaborative whiteboard,14
2024-07-30,research repository,6
2024-07-31,user research,2
2024-07-31,usability testing,3
2024-08-01,collaborative whiteboard,41
2024-08-02,research repository,2
2024-08-03,collaborative whiteboard,45
2024-08-03,research repository,30
2024-08-04,collaborative whiteboard,43
2024-08-04,usability testing,2
2024-08-05,field research,43
2024-08-08,field research,26
2024-08-12,field research,27
2024-08-12,usability testing,20
2024-08-13,collaborative whiteboard,40
2024-08-14,usability testing,40
2024-08-15,collaborative whiteboard,4
2024-08-16,user research,47
2024-08-16,research repository,23
2024-08-16,field research,46
2024-08-17,user research,9
2024-08-20,usability testing,45
2024-08-21,usability testing,44
2024-08-25,research repository,19
2024-08-26,field research,14
2024-08-26,research repository,32
2024-08-29,usability testing,17
2024-08-30,research repository,21
2024-08-31,field research,28
2024-08-31,field research,38
2024-09-01,research repository,47
2024-09-02,field research,33
2024-09-10,collaborative whiteboard,16
2024-09-11,collaborative whiteboard,41
2024-09-12,usability testing,32
2024-09-13,collaborative whiteboard,27
2024-09-15,user research,30
2024-09-16,user research,47
2024-09-16,research repository,10
2024-09-17,field research,4
2024-09-17,collaborative whiteboard,25
2024-09-21,usability testing,37
2024-09-26,research repository,3
2024-09-27,research repository,16
2024-09-28,field research,9
2024-09-29,collaborative whiteboard,34
2024-09-29,user research,31
2024-09-30,user research,20
2024-09-30,collaborative whiteboard,25
2024-10-07,field research,41
2024-10-07,field research,34
2024-10-07,usability testing,0
2024-10-08,user research,3
2024-10-15,usability testing,23
2024-10-15,research repository,30
2024-10-18,collaborative whiteboard,46
2024-10-20,research repository,17
2024-10-22,research repository,22
2024-10-22,research repository,23
2024-10-24,research repository,14
2024-10-25,collaborative whiteboard,9
2024-10-25,research repository,4
2024-10-27,research repository,2
2024-10-27,usability testing,10
2024-10-27,research repository,43
2024-10-28,user research,35
2024-10-31,research repository,33
2024-10-31,field research,43
2024-10-31,collaborative whiteboard,15
2024-10-31,user research,10
2024-11-01,user research,6
2024-11-02,research repository,4
2024-11-02,user research,31
2024-11-04,usability testing,25
2024-11-05,user research,33
2024-11-05,user research,19
2024-11-07,usability testing,33
2024-11-08,user research,14
2024-11-10,collaborative whiteboard,41
2024-11-12,user research,27
2024-11-15,research repository,22
2024-11-17,research repository,47
2024-11-18,collaborative whiteboard,5
2024-11-21,usability testing,27
2024-11-22,user research,15
2024-11-26,field research,10
2024-11-26,research repository,6
2024-11-27,field research,27
2024-11-27,collaborative whiteboard,46
2024-11-27,field research,33
2024-11-29,usability testing,11
2024-11-29,usability testing,0
